pageid,namespace,title,source_url,local_path,bytes
2082,0,Abominations,https://scape-and-run-parasites.fandom.com/wiki/Abominations,wiki/articles/2082_Abominations.wiki,36
1347,0,About (disambiguation),https://scape-and-run-parasites.fandom.com/wiki/About%20%28disambiguation%29,wiki/articles/1347_About (disambiguation).wiki,43
392,0,Adaptation System,https://scape-and-run-parasites.fandom.com/wiki/Adaptation%20System,wiki/articles/392_Adaptation System.wiki,7365
2319,0,Adapted,https://scape-and-run-parasites.fandom.com/wiki/Adapted,wiki/articles/2319_Adapted.wiki,598
1034,0,Adapted Arachnida,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Arachnida,wiki/articles/1034_Adapted Arachnida.wiki,5426
1036,0,Adapted Bolster,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Bolster,wiki/articles/1036_Adapted Bolster.wiki,5170
2201,0,Adapted Burrower,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Burrower,wiki/articles/2201_Adapted Burrower.wiki,1647
1243,0,Adapted Devourer,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Devourer,wiki/articles/1243_Adapted Devourer.wiki,1724
1052,0,Adapted Longarms,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Longarms,wiki/articles/1052_Adapted Longarms.wiki,5719
1054,0,Adapted Manducater,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Manducater,wiki/articles/1054_Adapted Manducater.wiki,4686
2781,0,Adapted Module,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Module,wiki/articles/2781_Adapted Module.wiki,35
1008,0,Adapted Parasites,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Parasites,wiki/articles/1008_Adapted Parasites.wiki,41
1056,0,Adapted Reeker,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Reeker,wiki/articles/1056_Adapted Reeker.wiki,4884
1058,0,Adapted Summoner,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Summoner,wiki/articles/1058_Adapted Summoner.wiki,5941
2140,0,Adapted Tozoon,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Tozoon,wiki/articles/2140_Adapted Tozoon.wiki,2354
2094,0,Adapted Vermin,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Vermin,wiki/articles/2094_Adapted Vermin.wiki,3315
2095,0,Adapted Viscera,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Viscera,wiki/articles/2095_Adapted Viscera.wiki,3759
1060,0,Adapted Yelloweye,https://scape-and-run-parasites.fandom.com/wiki/Adapted%20Yelloweye,wiki/articles/1060_Adapted Yelloweye.wiki,4360
2188,0,Advancements,https://scape-and-run-parasites.fandom.com/wiki/Advancements,wiki/articles/2188_Advancements.wiki,8375
3105,0,Adventurer (Disambiguation),https://scape-and-run-parasites.fandom.com/wiki/Adventurer%20%28Disambiguation%29,wiki/articles/3105_Adventurer (Disambiguation).wiki,273
2096,0,Airscrew,https://scape-and-run-parasites.fandom.com/wiki/Airscrew,wiki/articles/2096_Airscrew.wiki,2089
684,0,Altered Tendons,https://scape-and-run-parasites.fandom.com/wiki/Altered%20Tendons,wiki/articles/684_Altered Tendons.wiki,1577
2609,0,Alveolar Fluid,https://scape-and-run-parasites.fandom.com/wiki/Alveolar%20Fluid,wiki/articles/2609_Alveolar Fluid.wiki,817
2237,0,Alveoli,https://scape-and-run-parasites.fandom.com/wiki/Alveoli,wiki/articles/2237_Alveoli.wiki,604
2682,0,Alveoli Block,https://scape-and-run-parasites.fandom.com/wiki/Alveoli%20Block,wiki/articles/2682_Alveoli Block.wiki,860
255,0,Ancient Dreadnaut,https://scape-and-run-parasites.fandom.com/wiki/Ancient%20Dreadnaut,wiki/articles/255_Ancient Dreadnaut.wiki,3714
2786,0,Ancient Module,https://scape-and-run-parasites.fandom.com/wiki/Ancient%20Module,wiki/articles/2786_Ancient Module.wiki,35
277,0,Ancient Overlord,https://scape-and-run-parasites.fandom.com/wiki/Ancient%20Overlord,wiki/articles/277_Ancient Overlord.wiki,2399
1089,0,Ancient Parasites,https://scape-and-run-parasites.fandom.com/wiki/Ancient%20Parasites,wiki/articles/1089_Ancient Parasites.wiki,41
1062,0,Arachnida (Disambiguation),https://scape-and-run-parasites.fandom.com/wiki/Arachnida%20%28Disambiguation%29,wiki/articles/1062_Arachnida (Disambiguation).wiki,368
1258,0,Arachnida Claw,https://scape-and-run-parasites.fandom.com/wiki/Arachnida%20Claw,wiki/articles/1258_Arachnida Claw.wiki,707
1873,0,Architect,https://scape-and-run-parasites.fandom.com/wiki/Architect,wiki/articles/1873_Architect.wiki,1233
1295,0,Armor,https://scape-and-run-parasites.fandom.com/wiki/Armor,wiki/articles/1295_Armor.wiki,29
2047,0,Assimara Bear,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Bear,wiki/articles/2047_Assimara Bear.wiki,3105
2042,0,Assimara Cow,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Cow,wiki/articles/2042_Assimara Cow.wiki,2142
2043,0,Assimara Enderman,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Enderman,wiki/articles/2043_Assimara Enderman.wiki,4287
2045,0,Assimara Human,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Human,wiki/articles/2045_Assimara Human.wiki,1917
2828,0,Assimara Module,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Module,wiki/articles/2828_Assimara Module.wiki,36
2118,0,Assimara Parasites,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Parasites,wiki/articles/2118_Assimara Parasites.wiki,42
2046,0,Assimara Sheep,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Sheep,wiki/articles/2046_Assimara Sheep.wiki,1936
2044,0,Assimara Villager,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Villager,wiki/articles/2044_Assimara Villager.wiki,2237
2858,0,Assimara Wolf,https://scape-and-run-parasites.fandom.com/wiki/Assimara%20Wolf,wiki/articles/2858_Assimara Wolf.wiki,750
2910,0,Assimilated + Assimara Module,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20%2B%20Assimara%20Module,wiki/articles/2910_Assimilated + Assimara Module.wiki,40
282,0,Assimilated Adventurer,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Adventurer,wiki/articles/282_Assimilated Adventurer.wiki,3711
426,0,Assimilated Bear,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Bear,wiki/articles/426_Assimilated Bear.wiki,3469
299,0,Assimilated Big Spider,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Big%20Spider,wiki/articles/299_Assimilated Big Spider.wiki,3796
172,0,Assimilated Cow,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Cow,wiki/articles/172_Assimilated Cow.wiki,3766
616,0,Assimilated Ender Dragon,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Ender%20Dragon,wiki/articles/616_Assimilated Ender Dragon.wiki,3200
427,0,Assimilated Enderman,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Enderman,wiki/articles/427_Assimilated Enderman.wiki,5945
276,0,Assimilated Horse,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Horse,wiki/articles/276_Assimilated Horse.wiki,4199
177,0,Assimilated Human,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Human,wiki/articles/177_Assimilated Human.wiki,5120
2671,0,Assimilated Jack o'Lantern,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Jack%20o%27Lantern,wiki/articles/2671_Assimilated Jack o'Lantern.wiki,744
178,0,Assimilated Mobs,https://scape-and-run-parasites.fandom.com/wiki/Assimilated%20Mobs,wiki/articles/178_Assimilated Mobs.wiki,38
